,CustomerID,Recency,Frequency,MonetaryValue,R,F,M,RFMSegement,Segment,Cluster
0,12747,2,27,992.82,4,4,4,444,Champions,1
1,12748,1,954,7463.07,4,4,4,444,Champions,1
2,12749,4,37,813.45,4,4,4,444,Champions,1
3,12820,3,17,268.02000000000004,4,3,3,433,Loyal Customers,1
4,12822,71,9,146.15,2,2,3,223,Others,0
5,12823,297,1,306.0,1,1,3,113,Others,2
6,12824,60,6,106.38,2,2,2,222,Others,0
7,12826,3,17,291.26,4,3,3,433,Loyal Customers,1
8,12827,33,2,44.550000000000004,3,1,1,311,Others,2
9,12828,8,12,195.4,4,3,3,433,Loyal Customers,1
10,12829,337,2,95.80000000000001,1,1,2,112,Others,2
11,12830,91,10,1727.92,2,3,4,234,At Risk,0
12,12832,32,5,67.39999999999999,3,2,2,322,Others,0
13,12833,145,5,87.0,2,2,2,222,Others,2
14,12834,283,9,161.0,1,2,3,123,Others,0
15,12836,59,34,585.53,2,4,4,244,At Risk,1
16,12837,173,2,10.55,1,1,1,111,Lost,2
17,12838,34,22,89.41,3,4,2,342,Loyal Customers,0
18,12839,3,59,1048.93,4,4,4,444,Champions,1
19,12840,144,19,459.65999999999997,2,3,4,234,At Risk,0
20,12841,5,78,713.65,4,4,4,444,Champions,1
21,12842,70,8,224.54,2,2,3,223,Others,0
22,12843,160,22,385.55,1,4,4,144,At Risk,0
23,12844,29,7,38.05,3,2,1,321,Others,0
24,12845,269,4,221.1,1,1,3,113,Others,0
25,12847,22,14,123.21,3,3,2,332,Loyal Customers,0
26,12849,31,15,266.75,3,3,3,333,Loyal Customers,0
27,12851,97,12,29.36,2,3,1,231,At Risk,2
28,12852,295,2,32.550000000000004,1,1,1,111,Lost,2
29,12853,135,12,234.48000000000002,2,3,3,233,At Risk,0
30,12854,79,21,319.01,2,3,3,233,At Risk,0
31,12856,8,64,402.48,4,4,4,444,Champions,1
32,12857,211,11,283.85,1,3,3,133,At Risk,0
33,12863,52,1,34.8,3,1,1,311,Others,2
34,12864,138,1,17.4,2,1,1,211,Others,2
35,12867,26,105,749.29,3,4,4,344,Loyal Customers,1
36,12868,186,20,245.56,1,3,3,133,At Risk,0
37,12871,84,5,70.74,2,2,2,222,Others,2
38,12872,327,19,185.89000000000001,1,3,3,133,At Risk,0
39,12873,282,1,102.0,1,1,2,112,Others,2
40,12877,4,33,232.71,4,4,3,443,Loyal Customers,1
41,12878,236,8,174.3,1,2,3,123,Others,0
42,12879,92,2,70.80000000000001,2,1,2,212,Others,2
43,12883,25,10,186.18,3,3,3,333,Loyal Customers,0
44,12884,88,1,31.8,2,1,1,211,Others,2
45,12885,63,20,361.48,2,3,4,234,At Risk,0
46,12886,68,12,212.39,2,3,3,233,At Risk,0
47,12890,24,13,53.87,3,3,1,331,Loyal Customers,0
48,12893,31,7,20.4,3,2,1,321,Others,2
49,12895,42,6,107.65,3,2,2,322,Others,0
50,12901,10,28,3647.06,4,4,4,444,Champions,1
51,12902,265,4,42.03,1,1,1,111,Lost,2
52,12904,18,15,64.55,4,3,2,432,Loyal Customers,0
53,12906,12,16,494.87,4,3,4,434,Loyal Customers,1
54,12909,88,19,624.21,2,3,4,234,At Risk,0
55,12910,64,12,481.26,2,3,4,234,At Risk,0
56,12912,8,3,162.36,4,1,3,413,Recent Customers,0
57,12913,5,12,617.78,4,3,4,434,Loyal Customers,1
58,12915,149,7,108.9,2,2,2,222,Others,0
59,12916,139,24,699.38,2,4,4,244,At Risk,0
60,12919,8,6,133.73999999999998,4,2,2,422,Recent Customers,0
61,12920,17,3,23.4,4,1,1,411,Recent Customers,2
62,12921,9,122,2509.14,4,4,4,444,Champions,1
63,12922,161,4,57.239999999999995,1,1,1,111,Lost,2
64,12923,64,9,59.5,2,2,2,222,Others,0
65,12924,88,6,220.83,2,2,3,223,Others,0
66,12925,5,11,183.16,4,3,3,433,Loyal Customers,1
67,12928,35,15,366.8,3,3,4,334,Loyal Customers,0
